	ABBEY NAT TREASURY SVC CT BR	BR	ANTSUS31XXX
498	US	STATE BK OF INDIA LA AGY	BR	N
499	US	STATE BK OF INDIA NY BR	BR	N
500	US	STATE STREET BANK AND TRUST COMPANY	HO	SBOSUS33
501	US	STATE STREET CORPORATION	HO	N
502	US	STERLING BANCSHARES INC	HO	N
503	US	STERLING BANK	HO	STRLUS4HXXX
504	US	STRUCTURED OBLIGATIONS CORPORATION	NB	N
505	US	STRUCTURED PRODUCTS CORP	NB	N
506	US	SUMITOMO MITSUI BKG CORP LA BR	BR	N
507	US	SUMITOMO MITSUI BKG CORP SF BR	BR	N
508	US	SUMITOMO MITSUI BKG NY BR	BR	SMBCUS33XXX
509	US	SUMITOMO TR BKG NY BR	BR	STBCUS33XXX
510	US	SUMITOMO TRUST & BANKING CO (U.SA)	SU	STUSUS33
511	US	SUNTRUST BANK	HO	SNTRUS3ACOL
512	US	SUNTRUST BANKS INC	HO	N
513	US	SUNTRUST INVESTMENT SERVICES INC	NB	N
514	US	SVB FINANCIAL GROUP	HO	N
515	US	SVB SECURITIES	NB	N
516	US	SVENSKA HANDELS AB PUBL NY BR	BR	HANDUS33
517	US	SWEDBANK AB NY BR	BR	SWEDUS33XXX
518	US	SWEDBANK FIRST SECURITIES LLC	NB	N
519	US	SWISS AMERICAN SECURITIES INC	NB	N
520	US	SYNOVUS FINANCIAL CORP	HO	N
521	US	T C ZIRAAT BANKASI AS NY BR	BR	TCZBUS33XXX
522	US	TAIPEI FUBON CMRL BK CO LA BR	BR	TPBKUS6LXXX
523	US	TAIWAN BUS BK LA BR	BR	MBBTUS6LXXX
524	US	TAIWAN CO-OP BK LA BR	BR	FBOCUS6L
525	US	TAIWAN CO-OP BK SEATTLE BR	BR	FBOCUS66
526	US	TAMARACK DISTRIBUTORS INC	NB	N
527	US	TAUNUS CORPORATION	SU	N
528	US	TD AMERITRADE CLEARING INC	NB	N
529	US	TD AMERITRADE INC	NB	N
530	US	TD BANK NA	SU	CBNAUS33XXX
531	US	TD BANK US HOLDING COMPANY	SU	N
532	US	TD BANK USA NATIONAL ASSOCIATION	SU	N
533	US	TD PROFESSIONAL EXECUTION INC	NB	N
534	US	TD US P & C HOLDINGS ULC	SU	N
535	US	TD WEALTH MANAGEMENT SERVICES INC	NB	N
536	US	TEMPLETON/FRANKLIN INVESTMENT SERVICES INC	NB	N
537	US	TEXAS CAPITAL BANCSHARES INC	HO	N
538	US	TEXAS CAPITAL BANK NATIONAL ASSOCIATION	HO	TXCBUS44
539	US	TORONTO-DOMINION BK HOU AGY	BR	TDOMUS4HXXX
540	US	TORONTO-DOMINION BK NY BR	BR	TDOMUS33XXX
541	US	TOTALBANK	SU	TLBKUS3MXXX
542	US	TRANSATLANTIC BANK	SU	N
543	US	TRANSATLANTIC HOLDING CORP	SU	N
544	US	TRUSTMARK CORPORATION	HO	N
545	US	TRUSTMARK NATIONAL BANK	HO	TRNTUS41
546	US	TURKIYE VAKIFLAR BK NY BR	BR	TVBAUS33XXX
547	US	U.S. BANCORP	HO	N
548	US	U.S. BANK NATIONAL ASSOCIATION	HO	USBKUS44
549	US	UBS 299 WEALTH MGMT NY BR	BR	N
550	US	UBS AG AVE OF THE AMER BR	BR	UBSWUS33PAK
551	US	UBS AG CHICAGO BR	BR	UBSWUS33CHI
552	US	UBS AG LA BR	BR	N
553	US	UBS AG MIAMI BR	BR	UBSWUS33MIA
554	US	UBS AG NY BR	BR	N
555	US	UBS AG PARK AVE BR	BR	N
556	US	UBS AG SF BR	BR	UBSWUS33SFO
557	US	UBS AG STAMFORD BR	BR	UBSWUS33XXX
558	US	UBS AG TAMPA BR	BR	N
559	US	UBS BANK USA	SU	N
560	US	UBS CAPITAL INVESTORS INC	NB	N
561	US	UBS CAPITAL MARKETS L.P.	NB	N
562	US	UBS FINANCIAL SERVICES INC	NB	WEBRUS33XXX
563	US	UBS INTERNATIONAL INC	NB	N
564	US	UBS MANAGED FUND SERVICES INC	NB	N
565	US	UBS PORTFOLIO LLC	NB	N
566	US	UBS SECURITIES LLC	NB	N
567	US	UBS WARBURG SWAPS INC	NB	N
568	US	UNIBANCO SECURITIES INC	NB	N
569	US	UNICREDIT CAPITAL MARKETS INC	NB	N
570	US	UNICREDITO ITALIANO NY BR	BR	UNCRUS33XXX
571	US	UNION BANK NATIONAL ASSOCIATION	SU	BOFCUS33SFO
572	US	UNION PLANTERS HONG KONG INC	SU	N
573	US	UNIONBANC INVESTMENT SERVICES LLC	NB	N
574	US	UNIONBANCAL COMMERCIAL FUNDING CORPORATION	NB	N
575	US	UNIONBANCAL CORPORATION	SU	N
576	US	UNITED OVERSEAS BK LA AGY	BR	UOVBUS6LXXX
577	US	UNITED OVERSEAS BK NY AGY	BR	UOVBUS33XXX
578	US	UOB KAY HIAN (U.S) INC	NB	N
579	US	UTRECHT-AMERICA HOLDINGS INC	SU	N
580	US	VECTRA BANK COLORADO NATIONAL ASSOCIATION	HO	N
581	US	VIB CORP	SU	N
582	US	WACHOVIA BANK NATIONAL ASSOCIATION	HO	PNBPUS33
583	US	WEBSTER BANK NATIONAL ASSOCIATION	HO	N
584	US	WEBSTER FINANCIAL CORPORATION	HO	N
585	US	WELLS FARGO & COMPANY	HO	N
586	US	WELLS FARGO ADVISORS FINANCIAL NETWORK LLC	NB	N
587	US	WELLS FARGO ADVISORS LLC	NB	PNBPUS3WXXX
588	US	WELLS FARGO BANK NATIONAL ASSOCIATION	HO	WFBIUS6S
589	US	WELLS FARGO BANK NORTHWEST NATIONAL ASSOCIATION	HO	N
590	US	WELLS FARGO FUNDS DISTRIBUTOR LLC	NB	N
591	US	WELLS FARGO HSBC TRADE BANK NATIONAL ASSOCIATION	SU	N
592	US	WELLS FARGO INSTITUTIONAL SECURITIES LLC	NB	N
593	US	WELLS FARGO INSURANCE SERVICES INVESTMENT ADVISORS INC	NB	N
594	US	WELLS FARGO INVESTMENTS LLC	NB	N
595	US	WELLS FARGO SECURITIES LLC	NB	N
596	US	WESTLB AG NY BR	BR	WELAUS3XXXX
597	US	WESTLB SECURITIES INC	NB	N
598	US	WESTMINSTER RESEARCH ASSOCIATES LLC	NB	N
599	US	WESTPAC BKG CORP NY BR	BR	WPACUS33XXX
600	US	WHITNEY HOLDING CORPORATION	HO	N
601	US	WHITNEY NATIONAL BANK	HO	WHITUS44
602	US	WING LUNG BK LTD LA BR	BR	WUBAUS66
603	US	WOORI AMERICA BANK	SU	HVBKUS3NXXX
604	US	WOORI BK LA BR	BR	N
605	US	WOORI INVESTMENT & SECURITIES AMERICA INC	NB	N
606	US	ZIONS BANCORPORATION	HO	N
607	US	ZIONS DIRECT INC	NB	N
608	US	ZIONS FIRST NATIONAL BANK
